PENTAD,INDEX_4,INDEX_8,INDEX_9
19790103,-0.47,-0.06,0.87
19790108,0.33,-0.7,-0.08
19790113,0.04,-0.78,0.62
19790118,0.1,-0.98,0.73
19790123,1.74,-1.74,-1.51
19790128,0.96,-0.72,-1.04
19790202,0.32,-0.17,-0.4
19790207,0.6,-0.21,-0.89
19790212,-0.13,0.72,-0.48
19790217,-0.06,0.46,-0.37
19790222,0.04,0.19,-0.23
19790227,-0.32,0.38,0.15
19790304,-0.41,0.54,0.24
19790309,-1.06,1.06,0.91
19790314,-1.6,1.36,1.52
19790319,-0.05,-0.36,0.51
19790324,1.2,-1.15,-1.06
19790329,-0.35,0.63,0.02
19790403,-0.1,0.36,-0.15
19790408,-0.31,0.92,-0.4
19790413,-2.39,2.17,2.31
19790418,-0.41,-0.47,1.27
19790423,1.74,-2.1,-0.96
19790428,1.61,-1.29,-1.7
19790503,0.05,0.57,-0.8
19790508,-0.81,1.13,0.3
19790513,-1.35,1.23,1.23
19790518,-1.44,0.82,1.69
19790523,0.05,-0.61,0.44
19790528,1.23,-1.59,-0.66
19790602,1.94,-2.05,-1.5
19790607,2.04,-1.64,-2.19
19790612,1.04,-0.56,-1.51
19790617,0.02,0.64,-0.81
19790622,-0.86,1.28,0.22
19790627,-1.13,1.22,0.82
19790702,-1.02,0.66,1.25
19790707,0.51,-1.07,0.21
19790712,1.56,-1.93,-0.96
19790717,1.26,-1.47,-0.81
19790722,1.65,-1.4,-1.64
19790727,0.26,0.08,-0.65
19790801,-1.12,1.16,0.85
19790806,-2.25,1.86,2.18
19790811,-1.2,0.34,1.84
19790816,-0.27,-0.58,1.11
19790821,1.92,-2.26,-1.25
19790826,2.57,-2.63,-2.09
19790831,2.28,-2.21,-1.98
19790905,1.8,-1.67,-1.57
19790910,1.18,-0.93,-1.18
19790915,1.53,-1.2,-1.53
19790920,0.8,-0.33,-1.18
19790925,-1.51,1.83,0.83
19790930,-2.64,2.28,2.54
19791005,-2.17,1.53,2.36
19791010,-0.31,-0.09,0.62
19791015,0.67,-0.93,-0.34
19791020,1.5,-1.83,-0.94
19791025,1.29,-1.35,-0.95
19791030,0.67,-0.64,-0.69
19791104,0.26,0.24,-0.78
19791109,0.34,-0.21,-0.45
19791114,0.78,-0.64,-0.73
19791119,0.5,-0.02,-0.92
19791124,-1.17,1.66,0.54
19791129,-1.1,1.27,0.79
19791204,-1.52,1.31,1.47
19791209,-1.26,0.83,1.46
19791214,-0.09,-0.36,0.64
19791219,1,-1.04,-0.73
19791224,-0.07,0.2,-0.15
19791229,-0.32,0.68,-0.08
19800103,-0.75,0.74,0.68
19800108,-0.59,0.31,0.88
19800113,0.06,-0.43,0.44
19800118,0.87,-0.78,-0.83
19800123,0.27,0.14,-0.6
19800128,-0.6,0.73,0.38
19800202,-0.55,-0.06,1.09
19800207,0.09,-0.81,0.57
19800212,0.18,-0.67,0.35
19800217,1.13,-1.55,-0.51
19800222,0.6,-0.91,-0.19
19800227,0.66,-0.49,-0.72
19800304,-0.18,0.42,-0.07
19800309,-1.35,1.7,0.73
19800314,-1.85,1.76,1.69
19800319,-1.71,0.94,2.15
19800324,-1.93,1.09,2.44
19800329,-0.18,-0.73,1.2
19800403,1.44,-1.94,-0.6
19800408,1.48,-1.33,-1.29
19800413,0.2,0.52,-1.02
19800418,-2.12,2.06,1.73
19800423,-1.24,0.5,1.89
19800428,-0.05,-0.27,0.43
19800503,-0.22,0.36,0.07
19800508,-0.76,0.85,0.6
19800513,-0.69,0.37,1
19800518,-0.09,0.03,0.16
19800523,-0.23,0.33,0.14
19800528,0.17,-0.09,-0.17
19800602,0.35,-0.21,-0.41
19800607,-0.29,0.17,0.43
19800612,-0.32,0.05,0.61
19800617,0.41,-0.42,-0.28
19800622,-0.28,0.5,0.03
19800627,-0.88,0.95,0.62
19800702,-1.76,1.69,1.47
19800707,-1.58,1.18,1.7
19800712,-0.37,0.3,0.41
19800717,-0.3,0.34,0.15
19800722,0.54,-0.42,-0.6
19800727,0.7,-0.43,-0.83
19800801,0.35,-0.1,-0.52
19800806,0.2,-0.17,-0.18
19800811,0.63,-0.69,-0.43
19800816,0.57,-0.46,-0.64
19800821,-0.47,0.91,-0.08
19800826,-1.55,1.69,1.14
19800831,-0.81,0.82,0.65
19800905,-0.94,1.16,0.5
19800910,-1.55,1.25,1.61
19800915,-0.77,0.3,1.13
19800920,0.9,-0.93,-0.6
19800925,0.36,-0.3,-0.36
19800930,0.06,-0.24,0.15
19801005,0.66,-0.63,-0.44
19801010,0.46,-0.13,-0.69
19801015,-0.16,0.44,-0.15
19801020,-1.44,1.4,1.13
19801025,-1.97,1.63,1.94
19801030,-0.39,-0.11,0.83
19801104,0.64,-0.96,-0.15
19801109,0.37,-0.57,-0.13
19801114,0.28,-0.07,-0.42
19801119,-0.27,0.48,0.07
19801124,-0.66,0.34,0.95
19801129,0.19,-0.28,-0.01
19801204,-0.62,0.62,0.49
19801209,-1.15,1.27,0.83
19801214,-0.23,0.3,0.06
19801219,-0.68,0.47,0.82
19801224,-0.24,0.08,0.38
19801229,-0.17,0.1,0.23
19810103,-0.74,0.82,0.57
19810108,-0.83,0.57,0.96
19810113,-0.82,0.43,1.01
19810118,-0.27,-0.7,1.16
19810123,0.21,-0.35,-0.06
19810128,-1.33,1.22,1.22
19810202,-1.41,0.99,1.66
19810207,-0.99,0.41,1.39
19810212,-0.68,0.28,0.98
19810217,-0.35,-0.18,0.87
19810222,-0.38,-0.21,0.94
19810227,-0.98,0.53,1.28
19810304,0.54,-1.11,0.15
19810309,0.55,-1.01,0.04
19810314,1.89,-2.33,-1.13
19810319,2.36,-2.52,-1.74
19810324,1.53,-0.95,-1.82
19810329,0.06,0.88,-1.05
19810403,-1.98,2.74,0.92
19810408,-2.38,2.55,1.98
19810413,-1.59,0.8,2.31
19810418,-0.3,-0.24,0.8
19810423,-0.62,0.29,0.82
19810428,0.68,-1.18,0.03
19810503,1.62,-1.54,-1.43
19810508,1.02,-0.76,-1.06
19810513,-0.5,1.01,-0.14
19810518,-0.62,0.95,0.29
19810523,-0.71,0.48,0.89
19810528,-0.39,0.15,0.63
19810602,-0.3,0.01,0.6
19810607,-0.46,-0.16,1.02
19810612,-0.82,0.47,1.07
19810617,0.03,0.04,-0.05
19810622,-0.38,0.53,0.1
19810627,-0.45,0.5,0.32
19810702,-0.11,0.34,-0.12
19810707,-0.66,1.07,-0.01
19810712,-0.53,0.75,0.2
19810717,0.52,-0.12,-0.79
19810722,0.73,0.02,-1.53
19810727,-0.83,1.42,-0.12
19810801,-1.85,1.69,1.7
19810806,-1.05,0.49,1.44
19810811,-0.52,0.27,0.73
19810816,0.95,-0.95,-0.75
19810821,0.54,-0.63,-0.33
19810826,0.85,-1.07,-0.46
19810831,1.6,-1.54,-1.36
19810905,0.96,-0.4,-1.45
19810910,0.95,-0.3,-1.41
19810915,0,0.6,-0.62
19810920,-1.19,1.48,0.63
19810925,-1.3,1.39,0.98
19810930,-1.08,0.6,1.37
19811005,0.42,-0.76,0.05
19811010,1.09,-0.88,-1.08
19811015,-0.15,0.38,-0.13
19811020,-0.76,0.77,0.65
19811025,-0.55,0.53,0.55
19811030,-0.25,0.37,0.16
19811104,-1.12,1.31,0.74
19811109,-0.83,0.86,0.67
19811114,-0.5,0.03,0.89
19811119,0.15,-0.35,0.08
19811124,-0.61,0.65,0.5
19811129,-0.71,0.62,0.69
19811204,-0.72,0.78,0.51
19811209,-1.39,1.09,1.48
19811214,-0.66,0.13,1.12
19811219,0.16,-0.43,0.19
19811224,0.26,-0.44,-0.04
19811229,0.82,-0.82,-0.63
19820103,1.39,-1.24,-1.26
19820108,-0.1,0.3,-0.18
19820113,-0.63,0.62,0.49
19820118,-0.98,0.72,1
19820123,-0.01,-0.34,0.34
19820128,-0.19,0.32,-0.15
19820202,-0.78,0.62,0.88
19820207,-0.06,-0.36,0.48
19820212,-0.94,1.08,0.61
19820217,0.35,-0.36,-0.22
19820222,0.58,-0.58,-0.53
19820227,0.6,-0.4,-0.76
19820304,-0.44,0.59,0.24
19820309,-0.47,0.66,0.11
19820314,0.32,-0.02,-0.68
19820319,-0.75,0.94,0.38
19820324,-1.44,1.39,1.19
19820329,-1.64,1.11,1.89
19820403,-0.23,-0.34,0.78
19820408,1.03,-1.57,-0.23
19820413,1.73,-1.54,-1.66
19820418,0.12,0.31,-0.54
19820423,-0.72,1.18,0.07
19820428,-0.79,0.82,0.74
19820503,-1.11,0.87,1.14
19820508,-0.42,-0.09,0.84
19820513,0.09,-0.6,0.54
19820518,1.3,-1.68,-0.58
19820523,1.8,-1.89,-1.26
19820528,0.47,0.07,-0.96
19820602,-1.02,1.29,0.5
19820607,-0.55,0.15,0.94
19820612,0.49,-0.83,0.04
19820617,-0.08,-0.27,0.43
19820622,-0.71,0.43,0.82
19820627,-0.85,0.26,1.31
19820702,-0.73,0.04,1.35
19820707,-0.16,-0.36,0.7
19820712,-0.03,-0.45,0.58
19820717,-0.71,0.23,1.17
19820722,-1.19,0.48,1.73
19820727,-0.11,-0.2,0.49
19820801,-0.42,0.11,0.67
19820806,-0.2,0.13,0.26
19820811,-0.64,0.63,0.48
19820816,-1.27,1.14,1.22
19820821,-0.51,0.33,0.67
19820826,-1.06,0.67,1.25
19820831,-1.14,0.61,1.52
19820905,-0.52,0.01,1.01
19820910,-0.71,0.14,1.23
19820915,-0.12,-0.58,0.85
19820920,0.82,-1.38,0.02
19820925,0.44,-0.96,0.27
19820930,0.47,-0.94,0.16
19821005,0.93,-1.35,-0.36
19821010,1.04,-1.55,-0.34
19821015,0.52,-0.74,-0.2
19821020,0.58,-0.77,-0.2
19821025,1.08,-1.2,-0.61
19821030,1.14,-0.85,-1.2
19821104,0.24,-0.05,-0.25
19821109,-1.77,1.37,1.96
19821114,-0.78,0.07,1.43
19821119,1.07,-1.75,-0.03
19821124,2.16,-1.82,-2
19821129,0.5,0.14,-0.97
19821204,-0.35,0.1,0.66
19821209,0.39,-0.83,0.19
19821214,0.56,-0.59,-0.29
19821219,1.35,-1.13,-1.27
19821224,0.71,-0.25,-0.94
19821229,-0.14,0.24,0.06
19830103,-0.51,0.4,0.57
19830108,-1.03,0.57,1.35
19830113,-0.04,-0.8,0.84
19830118,1.14,-1.52,-0.56
19830123,0.7,-1.15,-0.1
19830128,0.76,-1.23,-0.07
19830202,0.81,-0.94,-0.44
19830207,1.09,-1.41,-0.54
19830212,0.53,-0.5,-0.55
19830217,-0.95,0.7,1.12
19830222,-1.17,0.38,1.91
19830227,0.24,-1.13,0.83
19830304,0.81,-1.65,0.25
19830309,0.29,-1,0.58
19830314,-0.06,-0.57,0.86
19830319,0.95,-1.6,0.06
19830324,0.68,-1.49,0.46
19830329,1.15,-1.68,-0.36
19830403,0.75,-1.28,-0.05
19830408,1.32,-1.79,-0.54
19830413,1.27,-1.53,-0.7
19830418,1.27,-1.36,-0.77
19830423,1.63,-1.71,-1.18
19830428,-0.13,-0.08,0.4
19830503,0.1,-0.38,0.25
19830508,0.1,-0.44,0.33
19830513,0.76,-1.09,-0.13
19830518,0.41,-0.53,-0.17
19830523,-0.66,0.52,0.74
